TripCode,StationName,SampleTime_Local,Latitude,Longitude,SST,chl_gsm,chl_oc3,GSLA,WaterDepth_m
ROT20100617,Rottnest Island,2010-06-17T10:05:00Z,-32,115.41667,21.224249319114335,0.474081054329872,0.349523738753505,0.0739635394622396,-44.6421
ROT20110923,Rottnest Island,2011-09-23T09:40:00Z,-32,115.41667,19.619076011019445,0.183334429718946,0.258284034473555,0.0464508339309966,-44.6421
ROT20120130,Rottnest Island,2012-01-30T11:09:00Z,-32,115.41667,24.070682492997094,0.127449381398037,0.22132993194585,0.0679021765115794,-44.6421
ROT20120221,Rottnest Island,2012-02-21T09:40:00Z,-32,115.41667,NA,0.1906364451825,0.212068143425529,0.173660598477103,-44.6421
ROT20120504,Rottnest Island,2012-05-04T13:00:00Z,-32,115.41667,22.82533394195258,NA,NA,0.103289945523629,-44.6421
ROT20120824,Rottnest Island,2012-08-24T11:06:00Z,-32,115.41667,19.123793613786518,NA,NA,0.0487913638082255,-44.6421
ROT20131122,Rottnest Island,2013-11-22T10:26:00Z,-32,115.41667,20.615276349977535,0.172201261855662,0.207536880858243,0.100456258678834,-44.6421
ROT20140122,Rottnest Island,2014-01-22T10:10:00Z,-32,115.41667,22.62465369291607,0.199338452502464,0.295741019615283,0.109256405169914,-44.6421
ROT20141014,Rottnest Island,2014-10-14T11:52:00Z,-32,115.41667,19.99089128493023,0.13761621255738,0.229309175011455,0.0233021351613601,-44.6421
ROT20160223,Rottnest Island,2016-02-23T08:57:00Z,-32,115.41667,21.708118564304414,0.11803239441298401,0.137257138386052,NA,-44.6421
ROT20160722,Rottnest Island,2016-07-22T13:20:00Z,-32,115.41667,18.93061176290115,0.331146812155133,0.32139264165409,0.0579738452382769,-44.6421
ROT20191218,Rottnest Island,2019-12-18T09:15:00Z,-32,115.41667,NA,0.172645522281528,0.205428315345774,0.00392931805349976,-44.6421
ROT20200128,Rottnest Island,2020-01-28T09:39:00Z,-32,115.41667,22.09536708787914,0.200105572766379,0.224190374060223,0.010390984404077,-44.6421
ROT20210818,Rottnest Island,2021-08-18T09:04:00Z,-32,115.41667,19.50765318437999,0.512337942098834,0.44498216091972,NA,-44.6421
ROT20211220,Rottnest Island,2021-12-20T09:00:00Z,-32,115.41667,21.048668198597966,2.61384073893229,0.170870599864992,NA,-44.6421
YON20091215,Yongala,2009-12-15T11:25:00Z,-19.30847,147.61842,27.389557955842463,NA,NA,NA,-24.149
YON20100729,Yongala,2010-07-29T11:22:00Z,-19.30847,147.61842,23.734483443182,NA,NA,NA,-24.149
YON20120604,Yongala,2012-06-04T10:30:00Z,-19.30847,147.61842,23.51077998496595,0.221356949657202,0.330468674302101,NA,-24.149
YON20130611,Yongala,2013-06-11T13:34:00Z,-19.30847,147.61842,23.799151329249185,NA,NA,NA,-24.149
YON20131205,Yongala,2013-12-05T11:26:00Z,-19.30847,147.61842,27.37514148928227,NA,NA,NA,-24.149
YON20140820,Yongala,2014-08-20T11:15:00Z,-19.30847,147.61842,21.871530124731407,0.145247530415654,0.220035264641047,NA,-24.149
YON20150923,Yongala,2015-09-23T13:11:00Z,-19.30847,147.61842,24.296021925602133,0.0694711064016225,0.113415483620606,NA,-24.149
YON20151027,Yongala,2015-10-27T10:10:00Z,-19.30847,147.61842,25.253313076701033,0.0827447105021704,0.173053567608198,NA,-24.149
YON20210513,Yongala,2021-05-13T10:13:00Z,-19.30847,147.61842,25.8594580296986,0.316056626439095,0.321882369965315,NA,-24.149
YON20220603,Yongala,2022-06-03T10:40:00Z,-19.30847,147.61842,25.562246819511074,NA,NA,NA,-24.149
YON20220816,Yongala,2022-08-16T10:50:00Z,-19.30847,147.61842,22.22594673942774,NA,NA,NA,-24.149
YON20160624,Yongala,2016-06-24T10:00:00Z,-19.30847,147.61842,24.379877284523104,0.285312911272049,0.372365321516991,NA,-24.149
YON20180130,Yongala,2018-01-30T10:05:00Z,-19.30847,147.61842,28.701655148342297,NA,NA,NA,-24.149
DAR20120417,Darwin,2012-04-17T09:42:00Z,-12.4,130.76805,30.090571093294898,NA,NA,0.0399893946561274,-16.6025
DAR20120729_2230,Darwin,2012-07-30T08:00:00Z,-12.4,130.76805,24.05592137597199,0.411789020500987,1.3780924267239,0.0397036414352649,-16.6025
DAR20121209_0300,Darwin,2012-12-09T12:30:00Z,-12.4,130.76805,NA,NA,NA,0.0867087209298468,-16.6025
DAR20130617_1830,Darwin,2013-06-18T04:00:00Z,-12.4,130.76805,NA,NA,NA,NA,-16.6025
DAR20150316,Darwin,2015-03-17T08:35:00Z,-12.4,130.76805,NA,NA,NA,NA,-16.6025
DAR20150505,Darwin,2015-05-06T08:24:00Z,-12.4,130.76805,NA,NA,NA,NA,-16.6025
DAR20151117,Darwin,2015-11-18T08:16:00Z,-12.4,130.76805,NA,NA,NA,NA,-16.6025
DAR20170714_2130,Darwin,2017-07-15T07:00:00Z,-12.4,130.76805,26.680426905418244,NA,NA,0.0322967054766301,-16.6025
DAR20180509,Darwin,2018-05-10T07:02:00Z,-12.4,130.76805,NA,NA,NA,NA,-16.6025
DAR20190214_0330,Darwin,2019-02-14T13:00:00Z,-12.4,130.76805,29.533562739250783,NA,NA,0.0702684143866449,-16.6025
DAR20200204_0630,Darwin,2020-02-04T16:01:00Z,-12.4,130.76805,31.40788057345759,NA,NA,0.029592506283639,-16.6025
DAR20200511,Darwin,2020-05-12T08:20:00Z,-12.4,130.76805,NA,NA,NA,NA,-16.6025
DAR20211106_2130,Darwin,2021-11-07T07:04:00Z,-12.4,130.76805,31.149806876108073,2.04511817997577,2.63995231366625,NA,-16.6025
ESP20090917,Esperance,2009-09-17T09:40:00Z,-33.93333,121.85,16.198696973631,NA,NA,0.0293050743625692,-49.3207
KAI20080315,Kangaroo Island,2008-03-15T10:50:00Z,-35.83217,136.44733,NA,NA,NA,NA,-108.088
KAI20091215,Kangaroo Island,2009-12-16T07:15:00Z,-35.83217,136.44733,NA,NA,NA,NA,-108.088
KAI20100112,Kangaroo Island,2010-01-13T07:00:00Z,-35.83217,136.44733,NA,NA,NA,NA,-108.088
KAI20130220,Kangaroo Island,2013-02-21T07:20:00Z,-35.83217,136.44733,NA,NA,NA,NA,-108.088
KAI20140313,Kangaroo Island,2014-03-13T14:00:00Z,-35.83217,136.44733,18.87539381165942,0.3708271920681,0.493910468816757,0.0642615170982558,-108.088
KAI20141201,Kangaroo Island,2014-12-02T06:05:00Z,-35.83217,136.44733,NA,NA,NA,NA,-108.088
KAI20150909,Kangaroo Island,2015-09-09T12:50:00Z,-35.83217,136.44733,14.8762806383682,0.173992267051308,0.278064470440149,NA,-108.088
KAI20170908,Kangaroo Island,2017-09-08T15:00:00Z,-35.83217,136.44733,14.778160794809025,NA,NA,NA,-108.088
KAI20191127,Kangaroo Island,2019-11-27T14:25:00Z,-35.83217,136.44733,16.229283481594393,NA,NA,0.00881235408114995,-108.088
KAI20201123,Kangaroo Island,2020-11-24T06:55:00Z,-35.83217,136.44733,NA,NA,NA,NA,-108.088
KAI20220128,Kangaroo Island,2022-01-28T14:52:00Z,-35.83217,136.44733,19.11716729007742,0.0649184858038401,0.176204518958305,NA,-108.088
MAI20090907,Maria Island,2009-09-07T11:25:00Z,-42.59667,148.23333,12.30103198911479,NA,NA,0.00941878716540285,-88
MAI20101027,Maria Island,2010-10-27T12:50:00Z,-42.59667,148.23333,12.935459868380349,0.780406814068556,1.34031982004642,0.0768124456380755,-88
MAI20110118,Maria Island,2011-01-19T10:30:00Z,-42.59667,148.23333,NA,NA,NA,NA,-88
MAI20110223,Maria Island,2011-02-23T11:15:00Z,-42.59667,148.23333,17.025372414567812,NA,NA,0.040617165487347603,-88
MAI20130313,Maria Island,2013-03-14T10:00:00Z,-42.59667,148.23333,NA,NA,NA,NA,-88
MAI20140318,Maria Island,2014-03-19T10:55:00Z,-42.59667,148.23333,NA,NA,NA,NA,-88
MAI20141029,Maria Island,2014-10-30T09:27:00Z,-42.59667,148.23333,NA,NA,NA,NA,-88
MAI20170323,Maria Island,2017-03-24T09:30:00Z,-42.59667,148.23333,NA,NA,NA,NA,-88
MAI20180605,Maria Island,2018-06-06T09:30:00Z,-42.59667,148.23333,NA,NA,NA,NA,-88
MAI20190828,Maria Island,2019-08-29T09:20:00Z,-42.59667,148.23333,NA,NA,NA,NA,-88
MAI20200223,Maria Island,2020-02-24T10:30:00Z,-42.59667,148.23333,NA,NA,NA,NA,-88
MAI20200628,Maria Island,2020-06-29T09:45:00Z,-42.59667,148.23333,NA,NA,NA,NA,-88
MAI20210329,Maria Island,2021-03-30T10:17:00Z,-42.59667,148.23333,NA,NA,NA,NA,-88
MAI20220510,Maria Island,2022-05-10T10:20:00Z,-42.59667,148.23333,16.202876608844804,1.11883611261845,0.506370933651924,NA,-88
NIN20121107,Ningaloo,2012-11-07T12:00:00Z,-21.99,113.779,24.10696035955101,0.270414223521948,0.265562196820974,0.0518674221808521,-595.598
NIN20130509,Ningaloo,2013-05-09T10:20:00Z,-21.99,113.779,27.706444506272703,0.373855993151665,0.315965753048658,0.133984095750774,-595.598
NSI20081030,North Stradbroke Island,2008-10-30T10:30:00Z,-27.345,153.562,23.823652137079478,0.14090777022971,0.222549174513136,0.0215158774968337,-63.8002
NSI20081217,North Stradbroke Island,2008-12-17T11:00:00Z,-27.345,153.562,25.40583265625031,0.228198263681296,0.298139283806086,0.0760371290261485,-63.8002
NSI20090527,North Stradbroke Island,2009-05-27T12:03:00Z,-27.345,153.562,22.584315085877847,NA,NA,0.0518882812757253,-63.8002
NSI20091101,North Stradbroke Island,2009-11-02T09:02:00Z,-27.345,153.562,NA,NA,NA,NA,-63.8002
NSI20101115,North Stradbroke Island,2010-11-16T09:30:00Z,-27.345,153.562,NA,NA,NA,NA,-63.8002
NSI20110412,North Stradbroke Island,2011-04-13T09:25:00Z,-27.345,153.562,NA,NA,NA,NA,-63.8002
NSI20120213,North Stradbroke Island,2012-02-14T08:00:00Z,-27.345,153.562,NA,NA,NA,NA,-63.8002
NSI20130806,North Stradbroke Island,2013-08-06T10:15:00Z,-27.345,153.562,21.211507838527723,0.471562452432586,0.460115854151365,0.0234883075589285,-63.8002
NSI20150731,North Stradbroke Island,2015-07-31T10:15:00Z,-27.345,153.562,21.270813822305286,NA,0.79503425359726,0.0298248180904517,-63.8002
NSI20161019,North Stradbroke Island,2016-10-20T09:40:00Z,-27.345,153.562,NA,NA,NA,NA,-63.8002
NSI20161215,North Stradbroke Island,2016-12-15T10:15:00Z,-27.345,153.562,24.413194794216395,NA,NA,0.0214036753822277,-63.8002
NSI20170717,North Stradbroke Island,2017-07-17T11:05:00Z,-27.345,153.562,20.562704061434204,0.235805494487286,0.233375523537397,0.0595598023914743,-63.8002
NSI20170927,North Stradbroke Island,2017-09-27T10:40:00Z,-27.345,153.562,21.653200259761945,NA,NA,0.0251812064150886,-63.8002
NSI20171023,North Stradbroke Island,2017-10-23T10:25:00Z,-27.345,153.562,23.03537968915259,0.158385895192623,0.17214602107803,0.0222675485520159,-63.8002
NSI20171219,North Stradbroke Island,2017-12-19T10:45:00Z,-27.345,153.562,26.060833044508627,NA,NA,0.0877266226793363,-63.8002
NSI20180718,North Stradbroke Island,2018-07-18T10:20:00Z,-27.345,153.562,21.022631290366633,0.917249457538128,0.693268905878067,0.0853646254558772,-63.8002
NSI20181023,North Stradbroke Island,2018-10-23T10:30:00Z,-27.345,153.562,23.234084967104195,0.114952283799648,0.116312089785933,0.0409505304367435,-63.8002
NSI20190416,North Stradbroke Island,2019-04-16T10:10:00Z,-27.345,153.562,25.105718640864836,NA,NA,0.0719964648329377,-63.8002
NSI20191220,North Stradbroke Island,2019-12-20T10:20:00Z,-27.345,153.562,NA,NA,NA,0.0715880443493328,-63.8002
NSI20200122,North Stradbroke Island,2020-01-22T10:35:00Z,-27.345,153.562,25.88964016332318,0.373716564178467,0.364821622669697,0.065252077328394,-63.8002
NSI20201022,North Stradbroke Island,2020-10-22T10:05:00Z,-27.345,153.562,22.81755735025581,NA,NA,NA,-63.8002
NSI20210615,North Stradbroke Island,2021-06-15T10:05:00Z,-27.345,153.562,22.1887458600404,16.9886072711511,1.96584122363598,NA,-63.8002
NSI20220420,North Stradbroke Island,2022-04-20T10:21:00Z,-27.345,153.562,25.48965761314696,NA,NA,NA,-63.8002
NSI20220605,North Stradbroke Island,2022-06-05T10:20:00Z,-27.345,153.562,NA,NA,NA,NA,-63.8002
PH420020318,Port Hacking 4,2002-03-18T00:00:00Z,-34.11758,151.21815,23.570370806823973,NA,NA,0.130834846565852,-104.6
PH420020604,Port Hacking 4,2002-06-04T00:00:00Z,-34.11758,151.21815,18.22563488695704,NA,NA,NA,-104.6
PH420021021,Port Hacking 4,2002-10-21T00:00:00Z,-34.11758,151.21815,17.5160821951996,0.209572216868401,0.155432504415512,0.0857964689545725,-104.6
PH420030211,Port Hacking 4,2003-02-11T00:00:00Z,-34.11758,151.21815,21.8893402961628,0.284270235010096,0.373177602177575,0.0191198132758191,-104.6
PH420040625,Port Hacking 4,2004-06-25T00:00:00Z,-34.11758,151.21815,17.337083974628285,0.619801983416799,0.63792473013683,0.0429853970566959,-104.6
PH420050909,Port Hacking 4,2005-09-09T00:00:00Z,-34.11758,151.21815,17.179942550896783,2.61378370722135,4.47150569558144,0.0287545969206354,-104.6
PH420060130,Port Hacking 4,2006-01-30T00:00:00Z,-34.11758,151.21815,23.904628976532877,0.18025517072051,0.194583021371239,0.108288953656936,-104.6
PH420060614,Port Hacking 4,2006-06-14T00:00:00Z,-34.11758,151.21815,19.801281454168134,0.37111420775282,0.404593744493545,0.0119599832894215,-104.6
PH420080529,Port Hacking 4,2008-05-29T00:00:00Z,-34.11758,151.21815,20.519120270407427,0.749401539800659,0.231319847561064,NA,-104.6
PHB20130422,Port Hacking,2013-04-23T09:32:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20140515,Port Hacking,2014-05-16T09:35:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20150121,Port Hacking,2015-01-22T09:48:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20150630,Port Hacking,2015-06-30T11:11:00Z,-34.11923,151.22667,19.035140186560284,0.522251371826444,0.352317725760596,0.0080112309828636,-111.042
PHB20180927,Port Hacking,2018-09-27T10:43:00Z,-34.11923,151.22667,17.51814547035127,0.877001931872031,0.942946699532596,0.0471208553628363,-111.042
PHB20181218,Port Hacking,2018-12-19T09:40:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20221026,Port Hacking,2022-10-27T08:16:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
ROT20091026,Rottnest Island,2009-10-26T09:53:00Z,-32,115.41667,19.210729917883896,NA,NA,0.0115972105656692,-44.6421
ROT20091222,Rottnest Island,2009-12-22T10:00:00Z,-32,115.41667,20.793887698319224,0.16320225894451099,0.240001282095909,0.00373857445866968,-44.6421
ROT20100820,Rottnest Island,2010-08-20T14:30:00Z,-32,115.41667,19.969348042478998,0.232287306338549,0.210654049490889,0.0813578655028764,-44.6421
ROT20110826,Rottnest Island,2011-08-26T09:43:00Z,-32,115.41667,19.609649439176792,NA,NA,0.0805207708599893,-44.6421
ROT20111122,Rottnest Island,2011-11-22T15:08:00Z,-32,115.41667,20.73850809749632,NA,NA,0.0509102947801274,-44.6421
ROT20120329,Rottnest Island,2012-03-29T10:03:00Z,-32,115.41667,23.589186202341523,NA,NA,0.0978384857176702,-44.6421
ROT20131017,Rottnest Island,2013-10-17T08:00:00Z,-32,115.41667,19.1038170260274,NA,NA,0.0346026221348578,-44.6421
ROT20140519,Rottnest Island,2014-05-19T12:22:00Z,-32,115.41667,22.090893592100826,0.752659078687429,0.212150654103607,0.12096958784124,-44.6421
ROT20140624,Rottnest Island,2014-06-24T13:16:00Z,-32,115.41667,21.376528228467578,0.470005712847211,0.425399573881235,0.0833412174019196,-44.6421
ROT20140902,Rottnest Island,2014-09-02T11:55:00Z,-32,115.41667,20.301221523365314,NA,NA,0.0201364198190225,-44.6421
ROT20150701,Rottnest Island,2015-07-01T09:46:00Z,-32,115.41667,20.27774947778221,NA,NA,0.0341065781053625,-44.6421
ROT20160324,Rottnest Island,2016-03-24T09:47:00Z,-32,115.41667,22.15874033050818,NA,NA,0.0381886842906482,-44.6421
ROT20160502,Rottnest Island,2016-05-02T09:44:00Z,-32,115.41667,21.55501328495643,NA,NA,0.0627419264594428,-44.6421
ROT20160621,Rottnest Island,2016-06-21T09:26:00Z,-32,115.41667,19.911887890211347,NA,NA,0.0272207459273518,-44.6421
ROT20161024,Rottnest Island,2016-10-24T09:35:00Z,-32,115.41667,18.69813517547317,NA,NA,0.0343062952168288,-44.6421
ROT20170428,Rottnest Island,2017-04-28T09:52:00Z,-32,115.41667,21.655964307859563,NA,NA,0.0472263397209075,-44.6421
ROT20180511,Rottnest Island,2018-05-11T09:21:00Z,-32,115.41667,21.866130760374176,0.833546691948606,0.711393387661767,0.11051836479331,-44.6421
ROT20201127,Rottnest Island,2020-11-27T09:05:00Z,-32,115.41667,20.788092163143062,NA,NA,NA,-44.6421
ROT20210428,Rottnest Island,2021-04-29T07:55:00Z,-32,115.41667,NA,NA,NA,NA,-44.6421
YON20100413,Yongala,2010-04-13T14:14:00Z,-19.30847,147.61842,27.22999102516104,NA,NA,NA,-24.149
YON20101101,Yongala,2010-11-01T11:45:00Z,-19.30847,147.61842,26.00208558557557,0.132790681247304,0.177428329499756,NA,-24.149
YON20110414,Yongala,2011-04-14T11:27:00Z,-19.30847,147.61842,26.34580616820608,0.363324262201786,0.541081375800646,NA,-24.149
DAR20120729_1930,Darwin,2012-07-30T05:00:00Z,-12.4,130.76805,24.05592137597199,0.411789020500987,1.3780924267239,0.0397036414352649,-16.6025
DAR20120730_0130,Darwin,2012-07-30T11:00:00Z,-12.4,130.76805,24.05592137597199,0.411789020500987,1.3780924267239,0.0397036414352649,-16.6025
DAR20130405,Darwin,2013-04-05T09:40:00Z,-12.4,130.76805,29.38777117205217,0.623201333412102,2.15530057975224,0.0578004219484289,-16.6025
DAR20130617_1130,Darwin,2013-06-17T21:00:00Z,-12.4,130.76805,27.11123636531437,0.649497537927675,2.20425611601936,0.0281445064226258,-16.6025
DAR20130916,Darwin,2013-09-16T11:26:00Z,-12.4,130.76805,28.088540880932385,NA,NA,0.0213378501416589,-16.6025
DAR20140906_0630,Darwin,2014-09-06T16:00:00Z,-12.4,130.76805,25.283454542653658,0.157935846088962,0.861459794369611,0.040798320901475,-16.6025
DAR20190214_0630,Darwin,2019-02-14T16:00:00Z,-12.4,130.76805,29.533562739250783,NA,NA,0.0702684143866449,-16.6025
DAR20220427_2130,Darwin,2022-04-28T07:00:00Z,-12.4,130.76805,NA,NA,NA,NA,-16.6025
DAR20220428_0330,Darwin,2022-04-28T13:00:00Z,-12.4,130.76805,NA,NA,NA,NA,-16.6025
ESP20110512,Esperance,2011-05-12T10:10:00Z,-33.93333,121.85,20.405726917936136,NA,NA,0.152508352996311,-49.3207
KAI20080211,Kangaroo Island,2008-02-12T07:17:00Z,-35.83217,136.44733,NA,NA,NA,NA,-108.088
KAI20080811,Kangaroo Island,2008-08-12T09:00:00Z,-35.83217,136.44733,NA,NA,NA,NA,-108.088
KAI20090114,Kangaroo Island,2009-01-15T08:00:00Z,-35.83217,136.44733,NA,NA,NA,NA,-108.088
KAI20090601,Kangaroo Island,2009-06-02T08:00:00Z,-35.83217,136.44733,NA,NA,NA,NA,-108.088
KAI20101213,Kangaroo Island,2010-12-14T08:30:00Z,-35.83217,136.44733,NA,NA,NA,NA,-108.088
KAI20120215,Kangaroo Island,2012-02-15T11:50:00Z,-35.83217,136.44733,NA,NA,NA,0.0866977324401447,-108.088
KAI20150224,Kangaroo Island,2015-02-25T08:55:00Z,-35.83217,136.44733,NA,NA,NA,NA,-108.088
KAI20210505,Kangaroo Island,2021-05-06T07:25:00Z,-35.83217,136.44733,NA,NA,NA,NA,-108.088
MAI20101001,Maria Island,2010-10-01T12:40:00Z,-42.59667,148.23333,12.0191341802348,1.49464809894562,1.64066779613495,0.017042073181728,-88
MAI20110407,Maria Island,2011-04-07T10:30:00Z,-42.59667,148.23333,16.257098002645193,1.46908898775776,0.613531148992479,0.0214440681434859,-88
MAI20120820,Maria Island,2012-08-20T11:15:00Z,-42.59667,148.23333,12.538697253288944,0.18284772336483,0.347170678553758,0.0349387767558765,-88
MAI20130129,Maria Island,2013-01-30T10:33:00Z,-42.59667,148.23333,NA,NA,NA,NA,-88
MAI20130807,Maria Island,2013-08-07T11:30:00Z,-42.59667,148.23333,13.407129504548948,0.70768267597471,0.286508476680943,0.0406144583887095,-88
MAI20140915,Maria Island,2014-09-16T09:20:00Z,-42.59667,148.23333,NA,NA,NA,NA,-88
MAI20141208,Maria Island,2014-12-09T10:05:00Z,-42.59667,148.23333,NA,NA,NA,NA,-88
MAI20160530,Maria Island,2016-05-31T09:45:00Z,-42.59667,148.23333,NA,NA,NA,NA,-88
MAI20160720,Maria Island,2016-07-21T09:30:00Z,-42.59667,148.23333,NA,NA,NA,NA,-88
MAI20180627,Maria Island,2018-06-28T09:00:00Z,-42.59667,148.23333,NA,NA,NA,NA,-88
MAI20200928,Maria Island,2020-09-29T09:00:00Z,-42.59667,148.23333,NA,NA,NA,NA,-88
NIN20101108,Ningaloo,2010-11-08T15:00:00Z,-21.99,113.779,25.73933781018485,0.0476559744113021,0.115907745063305,0.0751559489905056,-595.598
NIN20110501,Ningaloo,2011-05-01T08:24:00Z,-21.99,113.779,28.408737547285853,0.506418174803257,0.42558957785368,0.219435246364427,-595.598
NSI20090318,North Stradbroke Island,2009-03-18T10:30:00Z,-27.345,153.562,27.2796678920202,NA,NA,0.0122075900691255,-63.8002
NSI20091021,North Stradbroke Island,2009-10-22T09:20:00Z,-27.345,153.562,NA,NA,NA,NA,-63.8002
NSI20100817,North Stradbroke Island,2010-08-18T08:25:00Z,-27.345,153.562,NA,NA,NA,NA,-63.8002
NSI20120511,North Stradbroke Island,2012-05-11T10:05:00Z,-27.345,153.562,24.18844412263786,0.563755567669868,0.447781893610954,0.0316507205021389,-63.8002
NSI20121114,North Stradbroke Island,2012-11-14T10:45:00Z,-27.345,153.562,24.35955454080272,0.0618830484084108,0.172598680383281,0.0478720644560756,-63.8002
NSI20130111,North Stradbroke Island,2013-01-11T10:40:00Z,-27.345,153.562,26.889695275562076,0.340975709073246,0.323950473219156,0.0555052961321559,-63.8002
NSI20140306,North Stradbroke Island,2014-03-06T10:15:00Z,-27.345,153.562,25.304615699277235,0.419073309335444,0.413886302875148,0.0508395261420455,-63.8002
NSI20171116,North Stradbroke Island,2017-11-16T10:30:00Z,-27.345,153.562,25.291413026752707,NA,NA,0.0571467810110936,-63.8002
NSI20180320,North Stradbroke Island,2018-03-20T10:40:00Z,-27.345,153.562,26.315947434841405,0.179256675299257,0.183112339349464,0.0594967420994003,-63.8002
NSI20190723,North Stradbroke Island,2019-07-23T10:20:00Z,-27.345,153.562,NA,0.565046068131924,0.428324198424816,0.0796334216543817,-63.8002
NSI20200228,North Stradbroke Island,2020-02-28T10:30:00Z,-27.345,153.562,27.245690520968424,0.464733685851097,0.266096179038286,0.0970625486396167,-63.8002
NSI20200917,North Stradbroke Island,2020-09-17T10:20:00Z,-27.345,153.562,21.461151368346577,0.166796698246473,0.210409319051254,NA,-63.8002
NSI20201221,North Stradbroke Island,2020-12-21T10:30:00Z,-27.345,153.562,24.882753461343782,NA,NA,NA,-63.8002
NSI20210328,North Stradbroke Island,2021-03-29T09:00:00Z,-27.345,153.562,NA,NA,NA,NA,-63.8002
PH420040211,Port Hacking 4,2004-02-11T00:00:00Z,-34.11758,151.21815,23.679075186706655,NA,NA,0.0510293987615567,-104.6
PH420040524,Port Hacking 4,2004-05-24T00:00:00Z,-34.11758,151.21815,19.82422244192435,NA,NA,0.00991866693116445,-104.6
PH420041222,Port Hacking 4,2004-12-22T00:00:00Z,-34.11758,151.21815,20.445074924411927,NA,NA,0.0725182797297837,-104.6
PH420070924,Port Hacking 4,2007-09-24T00:00:00Z,-34.11758,151.21815,17.94921189766592,1.15177050232887,0.708584050834179,0.0561748969802927,-104.6
PHB20091011,Port Hacking,2009-10-12T09:28:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20101019,Port Hacking,2010-10-20T10:40:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20101213,Port Hacking,2010-12-14T09:30:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20110329,Port Hacking,2011-03-30T09:33:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20111018,Port Hacking,2011-10-19T09:31:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20120517,Port Hacking,2012-05-18T09:33:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20130125,Port Hacking,2013-01-25T10:54:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20131027,Port Hacking,2013-10-28T10:17:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20140211,Port Hacking,2014-02-12T09:57:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20150819,Port Hacking,2015-08-19T10:03:00Z,-34.11923,151.22667,18.703285920656015,NA,NA,0.059019002757272,-111.042
PHB20160229,Port Hacking,2016-03-01T09:00:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20170716,Port Hacking,2017-07-17T09:42:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20171024,Port Hacking,2017-10-25T09:01:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20190121,Port Hacking,2019-01-22T09:43:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20200630,Port Hacking,2020-07-01T09:18:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20201013,Port Hacking,2020-10-14T09:48:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20210210,Port Hacking,2021-02-11T09:09:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
PHB20220316,Port Hacking,2022-03-17T08:00:00Z,-34.11923,151.22667,NA,NA,NA,NA,-111.042
ROT20100723,Rottnest Island,2010-07-23T12:02:00Z,-32,115.41667,20.408370164761152,NA,NA,0.0335346314070774,-44.6421
ROT20110527,Rottnest Island,2011-05-27T09:35:00Z,-32,115.41667,22.483330236064887,0.806240934006711,0.52274910059381,0.130258037935086,-44.6421
ROT20170120,Rottnest Island,2017-01-20T10:20:00Z,-32,115.41667,20.307376540762732,0.0281101735582685,0.2270218564063,0.0575526833808921,-44.6421
ROT20170407,Rottnest Island,2017-04-07T09:28:00Z,-32,115.41667,21.487790592428723,0.308029137120435,0.403081761362652,0.0373857445866968,-44.6421
ROT20170626,Rottnest Island,2017-06-26T09:46:00Z,-32,115.41667,21.324341765170345,0.630890171482878,0.402830075824036,0.0743701646498711,-44.6421
ROT20170914,Rottnest Island,2017-09-14T09:45:00Z,-32,115.41667,19.43277818599927,NA,NA,0.0546798305179579,-44.6421
ROT20190125,Rottnest Island,2019-01-25T09:35:00Z,-32,115.41667,20.36847699061036,NA,NA,0.00741175111339761,-44.6421
ROT20190819,Rottnest Island,2019-08-19T08:31:00Z,-32,115.41667,NA,0.452112228305716,0.333202358024816,0.0138395074915607,-44.6421
ROT20191126,Rottnest Island,2019-11-26T09:30:00Z,-32,115.41667,NA,NA,0.160687231094293,0.0331770794620588,-44.6421
ROT20211105,Rottnest Island,2021-11-05T08:35:00Z,-32,115.41667,18.87756096834528,0.444452858829902,0.412612297019716,NA,-44.6421
ROT20221221,Rottnest Island,2022-12-21T08:39:00Z,-32,115.41667,21.41352611738779,NA,NA,NA,-44.6421
